ONLINEMESSUNG
Datum/Uhrzeit;15.07.2025 08:22:53
Nr.;Datum/Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang [s] = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe [] = f5;Feldstärke 1 [] = f6
0;15.07.25 08:20:08;-43,362;138,500;8,143;17,159;20,070;800,204;3,912;70,100;19,540;70,500;19,660;2,653;277,313;22,770;24,711;6377;637,7;0;0,0;13;12,51;25,32;0;14
1;15.07.25 08:20:31;-43,772;138,485;8,078;17,011;20,050;800,204;3,900;69,920;19,560;70,640;19,640;0,520;316,778;22,782;24,711;6377;637,7;0;0,0;11;12,52;25,48;0;14
2;15.07.25 08:21:13;-44,718;141,159;8,066;17,327;20,070;800,204;3,900;70,080;19,600;70,480;19,620;0,773;330,728;22,770;24,711;6377;637,7;0;0,0;13;12,50;25,32;0;14
3;15.07.25 08:21:36;-45,220;140,967;8,087;17,279;20,090;800,204;3,900;70,160;19,640;70,500;19,660;2,484;285,120;22,782;24,711;6377;637,7;0;0,0;11;12,51;25,32;0;14
4;15.07.25 08:22:18;-45,282;147,022;8,229;17,974;20,100;800,204;3,876;70,280;19,720;70,820;19,720;1,284;79,875;22,782;24,699;6377;637,7;0;0,0;13;12,51;25,48;0;14
5;15.07.25 08:22:41;-45,102;149,696;8,259;18,325;20,100;800,204;3,876;70,200;19,660;70,700;19,700;1,575;272,115;22,819;24,687;6377;637,7;0;0,0;11;12,52;25,95;0;14
6;15.07.25 08:23:23;-44,320;146,318;8,419;17,379;20,080;800,204;3,900;70,340;19,640;70,700;19,720;1,528;285,300;22,770;24,711;6377;637,7;0;0,0;13;12,51;25,00;0;14
7;15.07.25 08:23:46;-43,706;148,348;8,459;17,627;20,080;800,204;3,900;70,260;19,700;70,980;19,720;0,497;180,900;22,794;24,699;6377;637,7;0;0,0;11;12,51;25,48;0;14
8;15.07.25 08:24:28;-42,437;156,068;8,575;18,588;20,090;800,204;3,900;70,240;19,640;70,560;19,720;1,458;267,098;22,856;24,699;6377;637,7;0;0,0;13;12,51;25,95;0;14
9;15.07.25 08:24:51;-42,184;158,751;8,673;18,869;20,120;800,204;3,876;70,060;19,600;70,600;19,740;0,778;271,733;22,782;24,711;6377;637,7;0;0,0;11;12,52;25,48;0;14
10;15.07.25 08:25:33;-42,294;165,740;8,774;19,699;20,100;800,204;3,888;69,920;19,660;70,280;19,740;0,928;238,410;22,807;24,711;6377;637,7;0;0,0;13;12,56;25,48;0;14
11;15.07.25 08:25:56;-42,451;170,793;8,916;20,431;20,130;800,204;3,876;69,880;19,660;70,360;19,800;1,519;25,403;22,819;24,699;6377;637,7;0;0,0;11;12,56;25,16;0;14
12;15.07.25 08:26:37;-43,087;184,941;9,075;22,461;20,140;800,192;3,900;69,820;19,660;70,200;19,780;1,430;244,418;22,819;24,699;6377;637,7;0;0,0;12;12,60;25,48;0;14
13;15.07.25 08:27:19;-44,014;200,037;9,334;24,170;20,130;800,204;3,912;69,660;19,660;69,560;19,760;1,336;294,683;22,819;24,674;6377;637,7;0;0,0;14;12,54;25,48;0;14
14;15.07.25 08:27:42;-44,994;179,745;9,311;21,439;20,170;800,180;3,900;69,780;19,640;69,740;19,780;0,628;305,483;22,856;24,699;6377;637,7;0;0,0;12;12,57;25,79;0;14
15;15.07.25 08:28:24;-46,968;175,542;9,054;21,252;20,210;800,180;3,900;69,760;19,660;69,640;19,800;3,272;279,135;22,856;24,687;6377;637,7;0;0,0;14;12,60;25,63;0;14
16;15.07.25 08:28:47;-48,172;175,065;8,992;21,290;20,190;800,204;3,888;69,620;19,700;69,720;19,780;1,303;276,435;22,843;24,699;6377;637,7;0;0,0;12;12,56;25,32;0;14
17;15.07.25 08:29:29;-50,129;303,396;10,313;41,765;20,210;800,204;3,912;69,240;19,640;69,660;19,800;3,473;278,190;22,843;24,674;6377;637,7;0;0,0;14;12,61;25,32;0;14
18;15.07.25 08:29:52;-51,995;254,516;10,007;33,795;20,210;800,204;3,900;69,120;19,620;69,460;19,820;1,364;299,048;22,856;24,699;6377;637,7;0;0,0;12;12,60;25,48;0;14
19;15.07.25 08:30:34;-54,814;267,348;10,735;34,342;20,270;800,204;3,900;69,280;19,660;69,380;19,820;0,342;255,083;22,856;24,711;6377;637,7;0;0,0;14;12,62;25,79;0;14
20;15.07.25 08:30:57;-56,132;302,189;11,089;40,987;20,280;800,192;3,900;69,480;19,740;69,560;19,860;1,303;310,118;22,856;24,687;6377;637,7;0;0,0;12;12,66;25,32;0;14
21;15.07.25 08:31:39;-58,295;215,558;10,581;28,397;20,330;800,204;3,912;69,640;19,760;69,740;19,880;0,520;335,768;22,856;24,638;6377;637,7;0;0,0;14;12,65;25,79;0;14
22;15.07.25 08:32:02;-58,972;189,291;9,878;23,531;20,380;800,192;3,888;69,560;19,720;69,520;19,900;0,989;278,640;22,856;24,687;6377;637,7;0;0,0;12;12,62;25,79;0;14
23;15.07.25 08:32:43;-59,323;165,832;8,927;20,180;20,340;800,204;3,900;69,340;19,860;69,560;19,960;1,073;152,055;22,843;24,662;6377;637,7;0;0,0;13;12,65;25,79;0;14
24;15.07.25 08:33:06;-59,043;160,707;8,944;19,447;20,370;800,204;3,888;69,160;19,820;69,400;19,960;2,189;264,308;22,856;24,650;6377;637,7;0;0,0;11;12,63;25,95;0;14
25;15.07.25 08:33:48;-58,942;153,442;8,717;18,302;20,370;800,204;3,888;69,040;19,880;69,560;20,020;0,778;56,138;22,856;24,687;6377;637,7;0;0,0;13;12,65;25,95;0;14
26;15.07.25 08:34:11;-58,831;151,719;8,477;18,013;20,360;800,204;3,876;68,880;19,920;69,280;19,980;0,478;334,935;22,856;24,650;6377;637,7;0;0,0;11;12,64;25,79;0;14
27;15.07.25 08:34:52;-58,382;152,505;8,590;18,088;20,370;800,204;3,888;69,060;20,000;69,320;20,040;0,239;112,545;22,856;24,687;6377;637,7;0;0,0;12;12,66;26,59;0;14
28;15.07.25 08:35:34;-57,838;160,199;8,821;19,090;20,420;800,180;3,900;69,280;19,880;69,440;20,040;0,389;284,625;22,856;24,687;6377;637,7;0;0,0;14;12,67;25,79;0;14
29;15.07.25 08:35:57;-57,661;165,461;8,759;19,677;20,430;800,204;3,876;69,200;20,040;69,280;20,060;0,553;4,635;22,868;24,687;6377;637,7;0;0,0;12;12,66;26,11;0;14
30;15.07.25 08:36:38;-57,129;178,103;9,034;21,504;20,420;800,204;3,900;69,020;20,000;69,440;20,040;0,380;328,343;22,856;24,650;6377;637,7;0;0,0;13;12,67;26,27;0;14
31;15.07.25 08:37:01;-56,951;186,166;8,915;22,712;20,450;800,192;3,888;68,880;20,040;69,060;20,040;1,219;297,270;22,856;24,662;6377;637,7;0;0,0;11;12,67;25,63;0;14
32;15.07.25 08:37:43;-56,800;212,960;9,277;26,760;20,440;800,204;3,900;68,480;20,020;68,960;20,020;2,198;324,113;22,856;24,674;6377;637,7;0;0,0;13;12,71;25,48;0;14
33;15.07.25 08:38:06;-56,934;214,564;9,415;26,647;20,450;800,180;3,876;68,220;20,020;68,960;20,020;0,539;274,028;22,856;24,662;6377;637,7;0;0,0;11;12,69;25,95;0;14
34;15.07.25 08:38:47;-56,828;287,994;10,085;38,933;20,470;800,204;3,912;68,340;20,040;69,000;20,020;1,566;229,928;22,856;24,650;6377;637,7;0;0,0;12;12,75;26,11;0;14
35;15.07.25 08:39:29;-56,308;289,509;11,086;38,253;20,530;800,204;3,924;68,360;20,080;69,520;20,040;2,123;299,475;22,856;24,650;6377;637,7;0;0,0;14;12,75;26,11;0;14
36;15.07.25 08:39:52;-56,642;234,947;10,503;29,079;20,560;800,204;3,900;68,480;20,080;69,520;20,060;1,950;334,935;22,892;24,687;6377;637,7;0;0,0;12;12,75;25,95;0;14
37;15.07.25 08:40:34;-56,119;232,428;10,630;28,749;20,580;800,180;3,900;68,620;20,140;69,560;20,100;1,083;279,450;22,868;24,626;6377;637,7;0;0,0;14;12,77;26,27;0;14
38;15.07.25 08:40:57;-55,929;266,540;10,764;34,792;20,600;800,204;3,888;68,640;20,100;69,140;20,120;0,708;270,675;22,892;24,650;6377;637,7;0;0,0;12;12,79;26,43;0;14
39;15.07.25 08:41:39;-56,062;257,065;11,073;32,445;20,650;800,204;3,900;68,780;20,120;69,280;20,200;0,811;21,308;22,892;24,626;6377;637,7;0;0,0;14;12,83;26,27;0;14
40;15.07.25 08:42:02;-55,757;260,200;11,082;32,739;20,650;800,204;3,900;68,420;20,080;68,740;20,200;0,347;103,410;22,904;24,626;6377;637,7;0;0,0;12;12,84;26,59;0;14
41;15.07.25 08:42:44;-55,895;266,600;11,589;33,693;20,720;800,204;3,912;68,420;20,100;68,920;20,180;0,277;340,425;22,941;24,638;6377;637,7;0;0,0;14;12,84;26,27;0;14
42;15.07.25 08:43:07;-56,233;259,312;11,195;32,850;20,760;800,204;3,888;68,420;20,180;68,720;20,200;1,847;299,925;22,904;24,662;6377;637,7;0;0,0;12;12,84;26,43;0;14
