"Plot-Titel: Dunkle Seite der Macht"
"Anz.","Datum Zeit, GMT+02:00","PAR, µmol/m²/s (LGR S/N: 21901547, SEN S/N: 21894160)","Sonnenstrahlung, W/m² (LGR S/N: 21901547, SEN S/N: 21903639)","Temp., °C (LGR S/N: 21901547, SEN S/N: 21903816, LBL: 2m)","RH, % (LGR S/N: 21901547, SEN S/N: 21903816, LBL: 2m)","Temp., °C (LGR S/N: 21901547, SEN S/N: 21903817, LBL: 0,3m)","RH, % (LGR S/N: 21901547, SEN S/N: 21903817, LBL: 0,3m)"
1,09.08.25 11:48:14 AM,596.2,266.9,20.196,32.229,19.188,71.249
2,09.08.25 11:49:14 AM,478.7,214.4,19.467,65.277,19.231,71.379
3,09.08.25 11:50:14 AM,566.2,261.9,19.360,65.948,19.381,70.457
4,09.08.25 11:51:14 AM,623.7,279.4,19.167,66.165,19.403,69.812
5,09.08.25 11:52:14 AM,636.2,284.4,18.952,67.381,19.295,71.496
6,09.08.25 11:53:14 AM,643.7,288.1,18.931,67.248,19.360,70.166
7,09.08.25 11:54:14 AM,651.2,291.9,18.845,67.683,19.360,70.752
8,09.08.25 11:55:14 AM,656.2,294.4,18.823,67.591,19.467,71.048
9,09.08.25 11:56:14 AM,661.2,296.9,18.759,67.829,19.574,69.941
10,09.08.25 11:57:14 AM,671.2,300.6,18.866,67.335,19.639,70.472
11,09.08.25 11:58:14 AM,693.7,310.6,18.931,68.064,19.703,71.290
12,09.08.25 11:59:14 AM,671.2,301.9,18.952,66.320,19.767,67.904
13,09.08.25 12:00:14 PM,668.7,300.6,18.909,67.021,19.681,69.239
14,09.08.25 12:01:14 PM,661.2,296.9,19.017,66.796,19.681,69.282
15,09.08.25 12:02:14 PM,656.2,295.6,18.995,66.503,19.767,68.759
16,09.08.25 12:03:14 PM,656.2,294.4,19.038,66.342,19.810,67.776
17,09.08.25 12:04:14 PM,651.2,293.1,19.102,67.651,19.832,70.484
18,09.08.25 12:05:14 PM,651.2,293.1,19.210,66.337,19.896,68.962
19,09.08.25 12:06:14 PM,648.7,291.9,19.145,66.609,19.874,68.188
20,09.08.25 12:07:14 PM,646.2,290.6,19.124,66.722,19.853,68.852
