Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;
Standortname;
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;1120809;bis:;1124369
Ausgelesen am:;29.07.25 23:59:26;von:;User
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";RH-unten [%RH] = m8 /E8/"190026";LT-unten [degC] = n5 /E13/"190027";RH-oben [%RH] = n6 /E14/"190027";LT-oben [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1084012;29.07.25 00:00:00;-52,080;-1,935;-4,931;0,815;16,859;1004,375;0,012;73,320;17,240;68,007;17,452;0,851;194,712;19,917;-50,000;4211;421,1;;0,0;170;13,39;20,44;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1084013;29.07.25 00:00:11;-51,678;-1,935;-5,586;0,586;16,820;1004,540;0,012;75,080;17,240;68,140;17,380;0,703;259,717;19,901;-50,000;4211;421,1;;0,0;11;13,36;20,56;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1084014;29.07.25 00:00:52;-51,249;-1,935;-5,213;0,549;16,800;1004,180;0,012;73,760;17,200;68,540;17,380;0,839;244,688;19,877;-50,000;4211;421,1;;0,0;12;13,40;20,40;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1084015;29.07.25 00:01:05;-51,356;-1,935;-5,501;0,538;16,793;1004,316;0,012;74,393;17,213;68,387;17,420;0,977;222,968;19,889;-50,000;4211;421,1;;0,0;65;13,37;20,13;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1084016;29.07.25 00:01:33;-50,808;-1,935;-5,427;0,448;16,790;1004,264;0,012;74,700;17,180;68,400;17,400;0,572;217,575;19,901;-50,000;4211;421,1;;0,0;13;13,42;20,24;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1084017;29.07.25 00:01:56;-50,708;-1,935;-5,641;0,556;16,800;1004,168;0,012;75,020;17,220;68,240;17,400;0,853;167,310;19,852;-50,000;4211;421,1;;0,0;11;13,36;20,87;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1084018;29.07.25 00:02:10;-50,733;-1,935;-5,624;0,506;16,770;1004,200;0,012;74,860;17,187;68,373;17,400;0,822;203,678;19,901;-50,000;4211;421,1;;0,0;65;13,37;20,45;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1084019;29.07.25 00:02:38;-50,226;-1,935;-5,656;0,381;16,730;1004,216;0,012;74,160;17,140;68,520;17,380;1,125;216,068;19,901;-50,000;4211;421,1;;0,0;13;13,36;20,08;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1084020;29.07.25 00:03:01;-50,084;-1,935;-5,510;0,424;16,740;1004,240;0,000;74,260;17,180;68,540;17,360;0,727;203,288;19,852;-50,000;4211;421,1;;0,0;11;13,42;20,40;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1084021;29.07.25 00:03:42;-49,609;-1,935;-5,976;0,375;16,720;1004,204;0,012;75,420;17,100;68,580;17,400;0,778;234,270;19,865;-50,000;4211;421,1;;0,0;12;13,38;20,56;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
