Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;300000;bis:;310001
Ausgelesen am:;11.07.2024 10:53:47;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Z hlvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldst rke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292663;20.04.24 00:00:05;-8,531;-1,935;-3,191;1,725;5,792;998,891;24,435;79,900;6,300;77,680;6,415;2,820;290,852;7,245;-50,000;925;92,5;;0,0;60;12,48;4,21;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292664;20.04.24 00:01:05;-8,546;-1,935;-3,247;1,774;5,805;998,882;24,429;79,865;6,305;77,675;6,425;2,300;301,095;7,251;-50,000;925;92,5;;0,0;60;12,47;4,37;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292665;20.04.24 00:02:05;-8,166;-1,935;-3,190;1,511;5,793;998,861;24,432;80,570;6,330;78,235;6,435;1,327;295,358;7,239;-50,000;925;92,5;;0,0;60;12,47;4,48;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292666;20.04.24 00:03:05;-8,376;-1,935;-3,149;1,315;5,795;998,858;24,435;80,565;6,310;78,450;6,410;1,404;261,613;7,233;-50,000;925;92,5;;0,0;60;12,48;4,40;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292667;20.04.24 00:04:05;-8,324;-1,935;-3,022;1,281;5,785;998,876;24,438;80,845;6,335;78,530;6,415;1,254;200,031;7,236;-50,000;925;92,5;;0,0;60;12,48;4,25;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292668;20.04.24 00:05:05;-8,169;-1,935;-3,070;1,231;5,793;998,903;24,447;80,515;6,300;78,160;6,405;2,666;300,173;7,230;-50,000;925;92,5;;0,0;60;12,47;4,29;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292669;20.04.24 00:06:05;-8,004;-1,935;-3,109;1,431;5,797;998,930;24,438;80,230;6,315;77,825;6,445;2,181;253,879;7,224;-50,000;925;92,5;;0,0;60;12,48;4,44;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292670;20.04.24 00:07:05;-8,359;-1,935;-3,053;1,339;5,805;998,912;24,453;80,400;6,330;78,070;6,450;2,104;221,586;7,233;-50,000;925;92,5;;0,0;60;12,47;4,25;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292671;20.04.24 00:08:05;-11,754;-1,935;-3,432;1,361;5,790;998,933;24,459;80,490;6,320;78,130;6,440;2,163;321,148;7,227;-50,000;925;92,5;;0,0;60;12,47;4,33;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292672;20.04.24 00:09:05;-16,634;-1,935;-3,841;1,217;5,778;998,915;24,447;80,365;6,325;78,290;6,435;1,366;252,765;7,230;-50,000;925;92,5;;0,0;60;12,47;4,40;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
