Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;550001;bis:;569999
Ausgelesen am:;19.12.2024 12:10:51;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546677;11.09.24 00:00:03;-15,742;-1,935;-4,759;0,304;15,480;993,944;32,088;72,620;15,760;72,060;15,580;2,011;252,540;16,605;-50,000;1721;172,1;;0,0;13;12,38;18,65;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546678;11.09.24 00:00:26;-15,584;-1,935;-4,750;0,322;15,500;993,968;32,292;72,840;15,780;72,120;15,520;1,280;288,203;16,630;-50,000;1721;172,1;;0,0;11;12,37;18,49;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546679;11.09.24 00:01:07;-15,475;-1,935;-4,672;0,248;15,470;993,944;32,832;72,220;15,800;72,040;15,600;1,270;128,745;16,605;-50,000;1721;172,1;;0,0;12;12,36;18,49;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546680;11.09.24 00:01:48;-15,638;-1,935;-4,841;0,295;15,490;993,932;32,436;72,560;15,840;72,200;15,600;1,528;53,730;16,617;-50,000;1721;172,1;;0,0;13;12,40;18,33;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546681;11.09.24 00:02:00;-15,655;-1,935;-4,711;0,285;15,477;993,951;33,310;72,460;15,792;72,092;15,562;1,522;227,590;16,614;-50,000;1721;172,1;;0,0;170;12,38;18,41;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546682;11.09.24 00:02:11;-15,740;-1,935;-4,865;0,225;15,480;993,944;31,212;72,700;15,780;72,260;15,580;1,111;243,270;16,617;-50,000;1721;172,1;;0,0;11;12,38;18,02;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546683;11.09.24 00:02:52;-15,857;-1,935;-4,897;0,193;15,500;993,956;34,224;72,440;15,840;72,380;15,600;0,942;169,740;16,605;-50,000;1721;172,1;;0,0;12;12,38;18,49;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546684;11.09.24 00:03:05;-15,899;-1,935;-4,764;0,148;15,490;993,964;32,136;72,647;15,833;72,340;15,613;1,163;179,183;16,613;-50,000;1721;172,1;;0,0;65;12,39;18,28;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546685;11.09.24 00:03:33;-16,004;-1,935;-4,621;0,189;15,490;993,956;32,652;72,280;15,800;71,920;15,600;1,617;267,075;16,617;-50,000;1721;172,1;;0,0;13;12,39;18,49;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546686;11.09.24 00:03:56;-16,146;-1,935;-4,632;0,142;15,510;993,944;34,296;72,600;15,800;72,380;15,620;2,208;204,075;16,617;-50,000;1721;172,1;;0,0;11;12,38;18,33;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546687;11.09.24 00:04:10;-16,107;-1,935;-4,656;0,198;15,487;993,932;33,116;72,393;15,820;72,240;15,587;1,981;210,203;16,609;-50,000;1721;172,1;;0,0;65;12,39;18,39;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546688;11.09.24 00:04:37;-16,719;-1,935;-4,562;0,342;15,520;993,932;35,424;72,100;15,840;71,800;15,620;2,086;225,945;16,617;-50,000;1721;172,1;;0,0;12;12,36;18,33;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546689;11.09.24 00:05:05;-16,744;-1,935;-4,552;0,271;15,527;993,936;32,588;72,207;15,840;71,927;15,573;1,942;185,768;16,605;-50,000;1721;172,1;;0,0;55;12,39;18,54;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546690;11.09.24 00:05:18;-16,643;-1,935;-4,481;0,285;15,540;993,944;33,348;71,860;15,820;71,940;15,600;1,992;187,403;16,605;-50,000;1721;172,1;;0,0;13;12,39;18,02;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546691;11.09.24 00:05:41;-16,331;-1,935;-4,611;0,337;15,520;993,944;32,700;71,900;15,840;71,800;15,640;1,228;160,155;16,605;-50,000;1721;172,1;;0,0;11;12,39;18,17;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546692;11.09.24 00:06:10;-16,190;-1,935;-4,668;0,308;15,537;993,932;33,980;72,007;15,860;71,813;15,593;1,613;221,640;16,605;-50,000;1721;172,1;;0,0;65;12,39;18,39;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546693;11.09.24 00:06:22;-15,888;-1,935;-4,698;0,320;15,550;993,932;34,320;72,020;15,800;71,800;15,620;0,745;241,065;16,605;-50,000;1721;172,1;;0,0;12;12,39;18,49;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546694;11.09.24 00:07:03;-15,809;-1,935;-4,717;0,316;15,550;993,920;32,856;72,080;15,840;71,960;15,660;1,036;249,998;16,605;-50,000;1721;172,1;;0,0;13;12,38;18,49;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546695;11.09.24 00:07:26;-15,840;-1,935;-4,686;0,168;15,560;993,908;33,960;72,260;15,800;71,900;15,560;2,691;328,545;16,605;-50,000;1721;172,1;;0,0;11;12,37;18,17;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546696;11.09.24 00:08:07;-15,726;-1,935;-4,752;0,230;15,550;993,908;34,224;72,360;15,820;72,020;15,660;1,509;191,835;16,605;-50,000;1721;172,1;;0,0;12;12,39;18,49;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546697;11.09.24 00:08:48;-15,622;-1,935;-4,859;0,169;15,560;993,884;33,576;72,560;15,840;72,040;15,620;3,567;218,633;16,605;-50,000;1721;172,1;;0,0;13;12,38;18,49;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
