Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;590001;bis:;609999
Ausgelesen am:;19.12.2024 12:31:12;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";Luftfeu-1 [%RH] = m8 /E8/"190026";Luftemp-1 [degC] = n5 /E13/"190027";Luftfeu-2 [%RH] = n6 /E14/"190027";Lufttemp-2 [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Zaehler1-Differenz [Impulse] = e5;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579857;03.10.24 00:00:10;-10,899;-1,806;-3,197;0,298;12,872;998,615;36,456;81,795;13,320;82,190;12,990;2,085;173,891;12,836;-50,000;2205;;60;12,42;15,60;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579858;03.10.24 00:01:10;-10,864;-1,803;-3,220;0,320;12,887;998,627;36,555;81,750;13,330;82,155;12,990;1,284;160,211;12,842;-50,000;2205;;60;12,43;15,71;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579859;03.10.24 00:02:10;-10,752;-1,897;-3,271;0,221;12,887;998,636;36,105;81,775;13,300;82,220;12,960;1,634;275,513;12,821;-50,000;2205;;60;12,42;15,71;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579860;03.10.24 00:03:10;-10,790;-1,843;-3,296;0,244;12,912;998,639;35,991;81,655;13,300;82,065;12,950;1,948;332,038;12,845;-50,000;2205;;60;12,41;15,67;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579861;03.10.24 00:04:10;-10,787;-1,883;-3,249;0,216;12,920;998,648;36,162;81,615;13,300;82,105;12,975;1,765;319,416;12,824;-50,000;2205;;60;12,41;15,83;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579862;03.10.24 00:05:10;-10,827;-1,825;-3,290;0,243;12,930;998,651;36,504;81,375;13,310;81,955;12,970;1,586;245,976;12,827;-50,000;2205;;60;12,42;15,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579863;03.10.24 00:06:10;-10,840;-1,898;-3,369;0,195;12,943;998,663;36,207;81,490;13,315;81,980;12,980;1,988;280,761;12,824;-50,000;2205;;60;12,41;15,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579864;03.10.24 00:07:10;-10,912;-1,856;-3,368;0,209;12,947;998,669;36,258;81,275;13,345;81,875;12,990;1,894;177,311;12,836;-50,000;2205;;60;12,41;15,95;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579865;03.10.24 00:08:10;-11,060;-1,902;-3,411;0,170;12,955;998,678;35,922;81,185;13,315;81,810;12,980;1,823;271,699;12,818;-50,000;2205;;60;12,41;15,91;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579866;03.10.24 00:09:10;-11,246;-1,923;-3,478;0,128;12,967;998,687;36,081;81,295;13,320;81,840;12,960;1,502;319,084;12,839;-50,000;2205;;60;12,41;15,83;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
