Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Dach
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;916858;bis:;922631
Ausgelesen am:;26.05.2025 10:06:51;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";RH-unten [%RH] = m8 /E8/"190026";LT-unten [degC] = n5 /E13/"190027";RH-oben [%RH] = n6 /E14/"190027";LT-oben [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
929231;31.05.25 00:00:05;-56,174;-1,935;-3,822;1,533;16,875;1005,170;0,012;85,505;17,345;81,870;17,725;0,877;96,221;22,450;-50,000;4153;415,3;;0,0;60;12,54;15,67;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
929232;31.05.25 00:01:05;-55,740;-1,935;-3,765;1,216;16,858;1005,212;0,012;85,300;17,330;81,775;17,700;0,833;109,806;22,425;-50,000;4153;415,3;;0,0;60;12,54;15,52;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
929233;31.05.25 00:02:05;-55,694;-1,935;-3,633;1,090;16,853;1005,068;0,012;85,210;17,300;81,770;17,700;0,804;129,510;22,416;-50,000;4153;415,3;;0,0;60;12,54;15,44;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
929234;31.05.25 00:03:05;-55,491;-1,935;-3,587;1,273;16,825;1004,918;0,012;85,255;17,270;81,835;17,660;0,725;132,058;22,395;-50,000;4153;415,3;;0,0;60;12,54;15,24;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
929235;31.05.25 00:04:05;-55,849;-1,935;-4,087;1,198;16,807;1004,885;0,012;85,415;17,285;81,885;17,665;0,616;98,359;22,376;-50,000;4153;415,3;;0,0;60;12,53;15,24;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
929236;31.05.25 00:05:05;-55,613;-1,935;-3,995;0,964;16,767;1005,083;0,012;85,295;17,255;81,840;17,650;0,551;120,274;22,373;-50,000;4153;415,3;;0,0;60;12,55;15,24;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
929237;31.05.25 00:06:05;-55,806;-1,935;-3,540;1,110;16,770;1005,206;0,012;85,435;17,215;81,850;17,620;0,618;159,008;22,367;-50,000;4153;415,3;;0,0;60;12,54;15,04;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
929238;31.05.25 00:07:05;-55,840;-1,935;-3,821;1,059;16,740;1005,167;0,012;85,455;17,205;81,865;17,595;0,502;180,816;22,367;-50,000;4153;415,3;;0,0;60;12,53;15,08;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
929239;31.05.25 00:08:05;-55,686;-1,935;-4,343;0,958;16,712;1005,119;0,012;85,510;17,200;81,890;17,590;0,561;95,248;22,367;-50,000;4153;415,3;;0,0;60;12,54;15,20;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
929240;31.05.25 00:09:05;-55,562;-1,935;-4,243;1,004;16,685;1005,035;0,012;85,515;17,160;81,965;17,565;0,669;144,647;22,361;-50,000;4153;415,3;;0,0;60;12,54;15,24;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
