Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;
Standortname;
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;995678;bis:;1007994
Ausgelesen am:;04.07.2025 10:27:18;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";RH-unten [%RH] = m8 /E8/"190026";LT-unten [degC] = n5 /E13/"190027";RH-oben [%RH] = n6 /E14/"190027";LT-oben [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002977;03.07.25 00:00:09;-39,735;-1,935;-2,142;0,210;23,520;1003,064;0,012;66,980;23,840;65,900;23,560;1,411;336,240;27,568;-50,000;4176;417,6;;0,0;14;13,35;26,59;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002978;03.07.25 00:00:32;-39,378;-1,935;-2,274;0,232;23,490;1003,028;0,012;67,100;23,920;65,980;23,640;1,903;17,708;27,592;-50,000;4176;417,6;;0,0;12;13,42;26,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002979;03.07.25 00:01:00;-40,143;-1,935;-2,059;0,282;23,524;1003,042;0,012;66,583;23,902;65,900;23,605;1,643;171,439;27,578;-50,000;4176;417,6;;0,0;170;13,39;26,49;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002980;03.07.25 00:01:13;-38,276;-1,935;-1,791;0,232;23,500;1003,112;0,000;66,860;23,820;65,820;23,540;3,713;351,248;27,556;-50,000;4176;417,6;;0,0;13;13,40;26,43;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002981;03.07.25 00:01:36;-37,712;-1,935;-1,522;0,266;23,490;1003,136;0,012;66,600;23,860;65,360;23,540;2,742;326,858;27,543;-50,000;4176;417,6;;0,0;11;13,40;26,11;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002982;03.07.25 00:02:05;-37,649;-1,935;-1,504;0,298;23,480;1003,120;0,012;66,133;23,827;65,393;23,520;4,650;325,320;27,568;-50,000;4176;417,6;;0,0;65;13,39;26,48;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002983;03.07.25 00:02:17;-36,936;-1,935;-1,223;0,400;23,500;1003,076;0,012;66,380;23,840;65,220;23,540;3,923;262,845;27,568;-50,000;4176;417,6;;0,0;12;13,43;26,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002984;03.07.25 00:02:59;-36,323;-1,935;-1,258;0,582;23,510;1003,052;0,012;66,820;23,820;65,460;23,480;2,634;298,125;27,543;-50,000;4176;417,6;;0,0;14;13,41;26,59;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002985;03.07.25 00:03:10;-36,462;-1,935;-1,292;0,537;23,507;1003,056;0,012;66,753;23,800;65,340;23,520;3,202;307,995;27,543;-50,000;4176;417,6;;0,0;65;13,37;26,48;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002986;03.07.25 00:03:22;-35,962;-1,935;-1,366;0,646;23,530;1003,028;0,012;66,420;23,840;65,460;23,500;2,761;305,370;27,556;-50,000;4176;417,6;;0,0;12;13,41;26,59;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002987;03.07.25 00:04:03;-35,816;-1,935;-1,257;0,599;23,530;1003,052;0,012;66,520;23,760;65,380;23,500;1,833;312,908;27,531;-50,000;4176;417,6;;0,0;13;13,43;26,11;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002988;03.07.25 00:04:26;-35,854;-1,935;-1,324;0,666;23,510;1003,040;0,012;66,540;23,860;65,340;23,540;1,200;40,365;27,543;-50,000;4176;417,6;;0,0;11;13,40;26,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002989;03.07.25 00:05:07;-36,137;-1,935;-1,402;0,607;23,520;1003,028;0,012;66,480;23,720;65,360;23,460;1,748;338,130;27,543;-50,000;4176;417,6;;0,0;12;13,38;26,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002990;03.07.25 00:05:48;-36,543;-1,935;-1,597;0,606;23,490;1003,028;0,000;67,020;23,840;65,540;23,540;3,164;10,058;27,543;-50,000;4176;417,6;;0,0;13;13,39;26,27;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002991;03.07.25 00:06:00;-36,079;-1,935;-1,462;0,589;23,497;1003,032;0,012;66,385;23,798;65,405;23,500;2,302;322,400;27,542;-50,000;4176;417,6;;0,0;170;13,38;26,57;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002992;03.07.25 00:06:11;-36,650;-1,935;-1,572;0,556;23,490;1003,016;0,012;66,360;23,780;65,460;23,500;1,364;223,673;27,543;-50,000;4176;417,6;;0,0;11;13,42;26,75;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002993;03.07.25 00:06:52;-36,902;-1,935;-1,374;0,552;23,480;1002,968;0,012;66,240;23,760;65,520;23,520;1,444;296,145;27,543;-50,000;4176;417,6;;0,0;12;13,38;26,43;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002994;03.07.25 00:07:05;-36,947;-1,935;-1,381;0,523;23,490;1002,992;0,012;66,180;23,753;65,447;23,493;2,719;328,658;27,539;-50,000;4176;417,6;;0,0;65;13,37;26,48;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002995;03.07.25 00:07:33;-37,300;-1,935;-1,224;0,633;23,500;1003,076;0,012;66,660;23,780;65,360;23,460;2,991;216,968;27,519;-50,000;4176;417,6;;0,0;13;13,40;26,59;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002996;03.07.25 00:07:56;-37,216;-1,935;-0,829;0,660;23,490;1003,112;0,012;65,800;23,720;65,020;23,520;6,159;347,580;27,531;-50,000;4176;417,6;;0,0;11;13,43;26,27;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002997;03.07.25 00:08:10;-37,343;-1,935;-1,074;0,636;23,497;1003,076;0,012;66,433;23,807;65,260;23,533;3,250;219,023;27,527;-50,000;4176;417,6;;0,0;65;13,38;26,53;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
