Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27210
Geraetenummer;
Standortname;
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;1070356;bis:;1073846
Ausgelesen am:;25.07.25 23:59:22;von:;User
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800012";SR1 [W/m2] = m2 /E2/"800012";IR2 [W/m2] = m3 /E3/"800012";SR2 [W/m2] = m4 /E4/"800012";Temp [degC] = m5 /E5/"800012";Luftdruck [mbar] = m6 /E6/"190026";Bodenfeucht [vol%] = m7 /E7/"190026";RH-unten [%RH] = m8 /E8/"190026";LT-unten [degC] = n5 /E13/"190027";RH-oben [%RH] = n6 /E14/"190027";LT-oben [degC] = n7 /E15/"190027";Windgeschw [m/s] = n8 /E16/"190027";Windricht [grad] = p1 /E17/"190027";Bodentemp-1 [degC] = r3 /E27/"158056";Bodentemp-2 [degC] = r4 /E28/"158056";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1070058;25.07.25 00:00:10;-37,778;-1,935;-2,090;1,741;17,277;1001,628;0,012;89,780;17,853;86,553;18,147;0,845;217,223;20,841;-50,000;4201;420,1;;0,0;65;13,39;20,19;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1070059;25.07.25 00:00:24;-36,766;-1,935;-2,012;1,631;17,260;1001,660;0,012;89,700;17,820;86,540;18,120;0,605;292,905;20,841;-50,000;4201;420,1;;0,0;14;13,40;20,08;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1070060;25.07.25 00:00:47;-35,900;-1,935;-1,874;1,678;17,260;1001,684;0,000;89,700;17,840;86,520;18,100;0,455;271,778;20,853;-50,000;4201;420,1;;0,0;12;13,38;20,08;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1070061;25.07.25 00:01:00;-36,022;-1,935;-1,896;1,646;17,265;1001,666;0,012;89,690;17,850;86,520;18,100;0,513;308,970;20,854;-50,000;4201;420,1;;0,0;50;13,42;20,24;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1070062;25.07.25 00:01:28;-34,358;-1,935;-2,065;1,577;17,240;1001,708;0,012;89,600;17,820;86,520;18,180;0,455;215,190;20,829;-50,000;4201;420,1;;0,0;13;13,43;20,08;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1070063;25.07.25 00:01:51;-33,711;-1,935;-2,112;1,529;17,210;1001,708;0,012;89,620;17,900;86,600;18,140;0,656;109,485;20,853;-50,000;4201;420,1;;0,0;11;13,37;20,08;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1070064;25.07.25 00:02:05;-34,085;-1,935;-2,022;1,560;17,220;1001,700;0,012;89,653;17,833;86,527;18,153;0,552;213,120;20,817;-50,000;4201;420,1;;0,0;65;13,37;20,29;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1070065;25.07.25 00:02:32;-32,343;-1,935;-1,549;1,566;17,210;1001,708;0,012;89,620;17,840;86,440;18,160;0,469;198,090;20,829;-50,000;4201;420,1;;0,0;12;13,36;20,40;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1070066;25.07.25 00:03:00;-32,113;-1,935;-1,875;1,561;17,203;1001,704;0,012;89,633;17,840;86,467;18,160;0,522;128,070;20,853;-50,000;4201;420,1;;0,0;55;13,39;20,24;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1070067;25.07.25 00:03:13;-31,336;-1,935;-2,123;1,410;17,190;1001,684;0,012;89,660;17,840;86,460;18,180;0,563;95,805;20,841;-50,000;4201;420,1;;0,0;13;13,34;19,76;;15;A27210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
