Datetime_start(UTC),Temperature (Celsius),PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),Humidity (%)
2024-10-01 00:00:00,13.15,2.05,4.5,2.0,97.2
2024-10-01 00:10:00,13.16,2.15,4.6,2.0,97.4
2024-10-01 00:20:00,13.12,2.0,4.25,1.9,97.1
2024-10-01 00:30:00,13.1,1.2,2.9,1.2,97.1
2024-10-01 00:40:00,13.11,0.8,1.55,0.8,96.9
2024-10-01 00:50:00,13.09,0.55,1.35,0.55,97.0
2024-10-01 01:00:00,13.02,0.25,1.15,0.25,97.2
2024-10-01 01:10:00,13.030000000000001,0.25,1.4,0.25,97.3
2024-10-01 01:20:00,12.969999999999999,0.6,1.55,0.6,97.8
2024-10-01 01:30:00,12.959999999999999,0.95,2.2,0.95,98.0
2024-10-01 01:40:00,12.95,1.0,2.7,1.0,98.1
2024-10-01 01:50:00,12.91,1.0,2.95,1.0,98.5
2024-10-01 02:00:00,12.67,0.55,1.55,0.55,98.5
2024-10-01 02:10:00,12.6,0.75,1.6,0.75,98.7
2024-10-01 02:20:00,12.48,0.35,1.3,0.35,97.2
2024-10-01 02:30:00,12.35,0.0,0.2,0.0,95.8
2024-10-01 02:40:00,12.22,0.0,0.05,0.0,95.7
2024-10-01 02:50:00,11.940000000000001,0.0,0.7,0.0,96.1
2024-10-01 03:00:00,11.66,0.0,1.15,0.0,97.2
2024-10-01 03:10:00,11.5,0.0,1.05,0.0,98.0
2024-10-01 03:20:00,11.639999999999999,0.0,1.3,0.0,97.8
2024-10-01 03:30:00,11.67,0.0,0.7,0.0,98.3
2024-10-01 03:40:00,11.7,0.05,0.95,0.05,98.7
2024-10-01 03:50:00,11.76,0.0,0.8,0.0,99.0
2024-10-01 04:00:00,11.78,0.0,0.65,0.0,98.6
2024-10-01 04:10:00,11.84,0.05,1.25,0.05,98.3
2024-10-01 04:20:00,11.91,0.0,0.2,0.0,97.9
2024-10-01 04:30:00,11.709999999999999,0.0,0.15,0.0,97.4
2024-10-01 04:40:00,11.39,0.0,0.05,0.0,97.3
2024-10-01 04:50:00,11.03,0.0,1.4,0.0,97.8
2024-10-01 05:00:00,10.68,0.0,0.8,0.0,98.0
2024-10-01 05:10:00,10.41,0.0,1.4,0.0,98.4
2024-10-01 05:20:00,10.12,0.45,1.6,0.45,99.0
2024-10-01 05:30:00,10.05,0.35,1.75,0.35,99.0
2024-10-01 05:40:00,9.940000000000001,0.2,1.5,0.2,99.0
2024-10-01 05:50:00,9.57,0.4,2.1,0.4,99.0
2024-10-01 06:00:00,9.17,0.05,1.7,0.05,98.9
2024-10-01 06:10:00,8.8,0.1,2.25,0.05,99.0
2024-10-01 06:20:00,8.7,0.55,2.05,0.55,99.7
2024-10-01 06:30:00,8.69,4.3,8.3,3.2,100.0
2024-10-01 06:40:00,8.7,3.0,6.2,2.35,99.3
2024-10-01 06:50:00,8.55,1.85,4.5,1.75,99.0
2024-10-01 07:00:00,8.39,1.4,3.8,1.4,99.1
2024-10-01 07:10:00,8.61,1.9,4.55,1.9,99.8
2024-10-01 07:20:00,8.790000000000001,2.45,5.75,2.15,99.6
2024-10-01 07:30:00,8.82,2.25,5.55,2.1,99.6
2024-10-01 07:40:00,9.0,3.6,7.2,2.6,99.9
2024-10-01 07:50:00,9.440000000000001,4.1,8.15,3.2,99.1
2024-10-01 08:00:00,9.66,6.65,11.65,5.2,98.8
2024-10-01 08:10:00,9.75,6.85,12.45,5.65,98.5
2024-10-01 08:20:00,10.01,3.75,7.35,2.85,98.3
2024-10-01 08:30:00,10.4,2.6,5.2,2.05,97.6
2024-10-01 08:40:00,10.74,2.0,4.65,2.0,97.0
2024-10-01 08:50:00,10.98,2.0,4.05,2.0,97.0
2024-10-01 09:00:00,11.32,2.05,4.85,1.95,95.8
2024-10-01 09:10:00,11.77,1.5,3.8,1.45,94.9
2024-10-01 09:20:00,12.17,1.95,4.8,1.9,93.2
2024-10-01 09:30:00,12.27,1.7,4.35,1.7,91.5
2024-10-01 09:40:00,13.459999999999999,1.5,3.85,1.45,90.0
2024-10-01 09:50:00,14.36,1.2,3.4,1.2,86.2
2024-10-01 10:00:00,14.680000000000001,1.1,3.6,1.1,83.5
2024-10-01 10:10:00,15.0,1.4,3.65,1.35,81.2
2024-10-01 10:20:00,14.680000000000001,1.6,3.55,1.6,80.6
2024-10-01 10:30:00,14.73,1.75,4.15,1.75,80.2
2024-10-01 10:40:00,14.3,1.05,3.1,1.05,77.7
2024-10-01 10:50:00,14.209999999999999,1.0,3.3,1.0,75.9
2024-10-01 11:00:00,14.36,1.25,3.7,1.25,76.4
2024-10-01 11:10:00,14.52,1.3,4.1,1.05,75.7
2024-10-01 11:20:00,14.64,1.0,3.25,1.0,72.2
