Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2150002;bis:;2160000
Ausgelesen am:;11.07.2024 08:52:36;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";Luftfeu-1 [%RH] = m8 /E8/"190039";Luftemp-1 [degC] = n5 /E13/"190040";Luftfeu-2 [%RH] = n6 /E14/"190040";Lufttemp-2 [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2145448;30.05.24 00:00:10;-4,623;-0,111;14,216;2,167;14,715;800,192;31,416;90,435;14,795;91,510;14,995;0,089;245,199;17,011;17,963;6374;637,4;;0,0;60;12,35;18,85;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2145449;30.05.24 00:01:10;-4,214;-0,111;14,223;2,216;14,712;800,192;31,425;90,835;14,825;92,055;15,035;-0,022;128,064;17,011;17,960;6374;637,4;;0,0;60;12,36;18,81;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2145450;30.05.24 00:02:10;-4,522;-0,111;14,108;2,251;14,698;800,192;31,083;91,115;14,850;91,915;15,045;0,038;134,094;16,999;17,954;6374;637,4;;0,0;60;12,37;18,65;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2145451;30.05.24 00:03:10;-4,659;-0,111;14,135;2,178;14,685;800,192;30,900;91,105;14,810;91,895;14,980;0,063;168,711;17,005;17,963;6374;637,4;;0,0;60;12,36;18,69;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2145452;30.05.24 00:04:10;-4,714;-0,111;14,085;2,144;14,677;800,192;30,858;91,295;14,840;92,280;14,985;0,080;89,961;16,996;17,957;6374;637,4;;0,0;60;12,37;18,69;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2145453;30.05.24 00:05:10;-5,092;-0,111;14,085;2,121;14,665;800,192;31,599;91,315;14,825;92,210;14,980;0,316;124,633;16,996;17,960;6374;637,4;;0,0;60;12,36;18,53;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2145454;30.05.24 00:06:10;-5,230;-0,111;14,141;2,069;14,657;800,192;31,212;91,315;14,770;92,290;14,940;0,263;113,203;16,999;17,972;6374;637,4;;0,0;60;12,36;18,85;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2145455;30.05.24 00:07:10;-5,318;-0,111;14,104;2,004;14,628;800,186;31,251;91,410;14,750;92,365;14,890;0,332;113,445;17,002;17,969;6374;637,4;;0,0;60;12,37;18,69;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2145456;30.05.24 00:08:10;-5,769;-0,111;14,035;1,973;14,615;800,189;31,338;91,490;14,700;92,650;14,880;0,203;109,328;16,999;17,972;6374;637,4;;0,0;60;12,36;18,49;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2145457;30.05.24 00:09:10;-6,147;-0,111;13,995;1,906;14,587;800,189;31,713;91,670;14,675;92,725;14,840;0,239;115,307;16,996;17,966;6374;637,4;;0,0;60;12,36;18,73;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2145458;30.05.24 00:10:10;-6,823;-0,111;13,925;1,880;14,560;800,186;32,151;91,780;14,660;92,880;14,845;0,332;122,372;16,993;17,969;6374;637,4;;0,0;60;12,36;18,57;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2145459;30.05.24 00:11:10;-7,093;-0,111;13,838;1,874;14,545;800,180;31,221;91,915;14,640;92,835;14,805;0,260;113,057;16,984;17,966;6374;637,4;;0,0;60;12,35;18,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
