Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2299999;bis:;2310000
Ausgelesen am:;06.01.1980 22:59:05;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";Luftfeu-1 [%RH] = m8 /E8/"190039";Luftemp-1 [degC] = n5 /E13/"190040";Luftfeu-2 [%RH] = n6 /E14/"190040";Lufttemp-2 [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Z hlvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldst rke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299525;11.08.24 00:00:10;-62,667;-0,111;22,280;2,985;21,040;800,180;40,012;61,420;21,047;61,853;21,127;0,217;112,673;22,778;24,764;6374;637,4;;0,0;65;12,35;24,84;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299526;11.08.24 00:00:37;-62,742;-0,111;22,413;2,729;20,990;800,204;40,440;61,540;20,960;61,860;21,040;-0,019;116,303;22,770;24,833;6374;637,4;;0,0;12;12,36;24,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299527;11.08.24 00:01:05;-62,733;-0,111;22,287;2,739;20,997;800,180;39,264;61,600;21,013;62,173;21,060;0,038;92,063;22,766;24,805;6374;637,4;;0,0;55;12,36;24,63;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299528;11.08.24 00:01:18;-62,824;-0,111;22,299;2,765;20,980;800,204;38,028;62,140;20,980;62,060;21,040;0,094;79,403;22,758;24,528;6374;637,4;;0,0;13;12,35;24,84;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299529;11.08.24 00:01:41;-62,660;-0,111;22,469;2,668;20,980;800,204;39,300;62,000;20,960;62,260;21,000;0,080;1,530;22,758;24,443;6374;637,4;;0,0;11;12,36;24,68;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299530;11.08.24 00:02:10;-62,661;-0,111;22,376;2,766;20,947;800,180;38,680;61,840;20,900;62,080;20,973;0,034;241,328;22,758;24,483;6374;637,4;;0,0;65;12,35;24,68;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299531;11.08.24 00:02:22;-62,460;-0,111;22,422;2,889;20,920;800,204;38,472;61,840;20,860;62,040;20,920;-0,019;234,338;22,758;24,577;6374;637,4;;0,0;12;12,32;24,84;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299532;11.08.24 00:03:03;-61,979;-0,111;22,447;3,066;20,930;800,204;38,100;62,120;20,840;62,360;20,860;-0,019;203,783;22,758;24,613;6374;637,4;;0,0;13;12,32;24,68;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299533;11.08.24 00:03:26;-61,599;-0,111;22,577;3,183;20,890;800,204;38,472;62,240;20,840;62,660;20,880;-0,019;157,343;22,758;24,589;6374;637,4;;0,0;11;12,36;24,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299534;11.08.24 00:04:07;-61,491;-0,111;22,880;3,422;20,880;800,204;37,452;62,220;20,820;63,140;20,880;0,019;200,700;22,758;24,552;6374;637,4;;0,0;12;12,34;25,00;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299535;11.08.24 00:04:48;-61,792;-0,111;22,356;3,483;20,880;800,204;40,704;63,200;20,840;63,920;20,920;0,305;235,620;22,758;24,504;6374;637,4;;0,0;13;12,35;24,21;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299536;11.08.24 00:05:00;-61,838;-0,111;22,553;3,258;20,905;800,180;38,517;62,367;20,820;63,087;20,920;0,040;210,634;22,758;24,560;6374;637,4;;0,0;170;12,35;24,54;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299537;11.08.24 00:05:11;-61,698;-0,111;22,423;3,353;20,850;800,204;38,040;63,340;20,780;64,020;20,960;0,066;196,830;22,758;24,418;6374;637,4;;0,0;11;12,34;24,68;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299538;11.08.24 00:05:52;-61,494;-0,111;22,448;3,278;20,840;800,204;39,864;63,480;20,800;63,980;20,940;-0,014;227,273;22,746;24,418;6374;637,4;;0,0;12;12,35;24,68;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299539;11.08.24 00:06:05;-61,511;-0,111;22,500;3,323;20,853;800,180;40,076;63,473;20,793;64,020;20,940;0,006;191,055;22,750;24,422;6374;637,4;;0,0;65;12,35;24,58;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299540;11.08.24 00:06:33;-61,528;-0,111;22,512;3,363;20,830;800,204;40,824;64,160;20,760;64,500;20,880;0,038;198,698;22,733;24,369;6374;637,4;;0,0;13;12,35;24,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299541;11.08.24 00:06:56;-61,415;-0,111;22,360;3,280;20,820;800,204;38,448;64,460;20,720;64,820;20,880;0,075;197,415;22,746;24,320;6374;637,4;;0,0;11;12,35;24,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299542;11.08.24 00:07:10;-61,452;-0,111;22,454;3,291;20,830;800,180;40,856;64,207;20,780;64,693;20,873;0,003;191,768;22,746;24,328;6374;637,4;;0,0;65;12,35;24,74;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299543;11.08.24 00:07:37;-61,250;-0,111;22,512;3,253;20,800;800,204;40,212;63,900;20,700;64,960;20,800;0,009;174,105;22,733;24,320;6374;637,4;;0,0;12;12,36;24,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299544;11.08.24 00:08:05;-61,227;-0,111;22,546;3,264;20,813;800,180;39,708;63,947;20,727;64,813;20,820;-0,008;198,383;22,750;24,267;6374;637,4;;0,0;55;12,36;24,42;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299545;11.08.24 00:08:18;-61,506;-0,111;22,377;3,335;20,780;800,180;40,152;63,920;20,680;64,820;20,820;0,094;268,628;22,721;24,223;6374;637,4;;0,0;13;12,34;24,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299546;11.08.24 00:08:41;-61,758;-0,111;22,366;3,239;20,780;800,204;38,124;64,340;20,700;64,940;20,780;0,164;239,423;22,733;24,125;6374;637,4;;0,0;11;12,35;24,21;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299547;11.08.24 00:09:10;-61,721;-0,111;22,404;3,215;20,780;800,184;38,660;64,473;20,673;65,240;20,753;0,217;227,160;22,729;24,068;6374;637,4;;0,0;65;12,34;24,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299548;11.08.24 00:09:22;-61,624;-0,111;22,538;3,122;20,750;800,204;42,600;65,100;20,640;65,940;20,740;0,267;192,105;22,709;24,027;6374;637,4;;0,0;12;12,32;24,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299549;11.08.24 00:10:03;-61,175;-0,111;22,728;3,007;20,730;800,204;41,508;64,820;20,680;65,140;20,740;0,370;177,300;22,709;24,174;6374;637,4;;0,0;13;12,37;24,21;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299550;11.08.24 00:10:26;-60,793;-0,111;22,917;3,056;20,740;800,204;39,444;63,380;20,660;63,700;20,740;0,352;134,168;22,746;24,272;6374;637,4;;0,0;11;12,35;24,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299551;11.08.24 00:11:07;-61,449;-0,111;22,770;3,403;20,740;800,204;39,444;63,200;20,640;64,820;20,780;0,098;223,650;22,709;24,381;6374;637,4;;0,0;12;12,32;24,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299552;11.08.24 00:11:48;-61,517;-0,111;22,190;3,415;20,730;800,204;40,092;64,160;20,680;64,700;20,820;0,188;182,835;22,672;24,320;6374;637,4;;0,0;13;12,35;24,84;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299553;11.08.24 00:12:00;-61,345;-0,111;22,594;3,242;20,727;800,185;41,490;64,037;20,660;64,645;20,785;0,256;177,553;22,703;24,262;6374;637,4;;0,0;170;12,35;24,31;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299554;11.08.24 00:12:11;-61,328;-0,111;22,280;3,311;20,710;800,180;40,284;63,840;20,600;64,980;20,780;0,070;206,618;22,672;24,308;6374;637,4;;0,0;11;12,34;24,68;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299555;11.08.24 00:12:52;-61,585;-0,111;22,258;3,138;20,650;800,204;38,928;64,280;20,620;65,200;20,700;0,727;197,348;22,660;24,320;6374;637,4;;0,0;12;12,34;24,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299556;11.08.24 00:13:05;-61,706;-0,111;22,243;3,183;20,683;800,188;41,532;63,847;20,640;65,133;20,713;0,370;195,203;22,681;24,324;6374;637,4;;0,0;65;12,35;24,21;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299557;11.08.24 00:13:33;-61,490;-0,111;22,257;2,836;20,610;800,204;40,668;63,660;20,600;64,800;20,640;0,323;179,213;22,672;24,308;6374;637,4;;0,0;13;12,36;24,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
