Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2705774;bis:;2710168
Ausgelesen am:;08.05.2025 10:05:26;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2690798;25.04.25 00:00:05;-15,318;-0,111;4,780;2,066;10,665;800,204;4,914;0,340;-29,540;93,235;11,210;0,455;36,686;12,912;13,660;6377;637,7;;0,0;60;12,24;14,17;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2690799;25.04.25 00:01:05;-15,680;-0,111;4,670;2,022;10,672;800,204;4,917;0,340;-29,540;93,050;11,210;0,143;79,391;12,912;13,654;6377;637,7;;0,0;60;12,24;14,40;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2690800;25.04.25 00:02:05;-16,217;-0,111;4,677;1,940;10,670;800,204;4,917;0,340;-29,540;93,150;11,200;0,104;216,118;12,897;13,666;6377;637,7;;0,0;60;12,23;14,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2690801;25.04.25 00:03:05;-16,769;-0,111;4,597;1,861;10,665;800,204;4,914;0,335;-29,540;92,820;11,250;0,021;53,758;12,894;13,663;6377;637,7;;0,0;60;12,25;14,44;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2690802;25.04.25 00:04:05;-17,434;-0,111;4,506;1,859;10,665;800,204;4,914;0,335;-29,540;92,650;11,180;0,238;158,603;12,894;13,660;6377;637,7;;0,0;60;12,24;14,48;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2690803;25.04.25 00:05:05;-18,218;-0,111;4,428;1,777;10,670;800,204;4,923;0,325;-29,540;92,485;11,180;0,353;175,809;12,894;13,666;6377;637,7;;0,0;60;12,24;14,40;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2690804;25.04.25 00:06:05;-19,180;-0,111;4,273;1,813;10,657;800,204;4,914;0,335;-29,540;92,430;11,160;0,246;207,624;12,894;13,654;6377;637,7;;0,0;60;12,24;14,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2690805;25.04.25 00:07:05;-19,989;-0,111;4,213;1,898;10,657;800,204;4,926;0,330;-29,540;92,490;11,165;0,095;211,213;12,894;13,639;6377;637,7;;0,0;60;12,24;14,13;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2690806;25.04.25 00:08:05;-20,557;-0,111;4,135;1,820;10,637;800,204;4,911;0,325;-29,540;92,345;11,165;0,046;185,175;12,903;13,648;6377;637,7;;0,0;60;12,23;14,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2690807;25.04.25 00:09:05;-20,883;-0,111;4,111;1,806;10,630;800,204;4,908;0,330;-29,540;92,280;11,165;0,001;209,784;12,894;13,620;6377;637,7;;0,0;60;12,23;14,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
