Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2781227;bis:;2786986
Ausgelesen am:;30.06.2025 10:37:21;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Z hlvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldst rke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782043;27.06.25 00:00:05;-31,138;-0,111;19,348;2,429;23,070;800,180;3,543;67,010;22,875;66,235;23,270;0,543;192,696;29,497;30,565;6377;637,7;;0,0;60;12,41;23,65;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782044;27.06.25 00:01:05;-31,551;-0,111;19,239;2,410;23,057;800,180;3,546;67,005;22,880;66,230;23,255;0,349;135,264;29,497;30,556;6377;637,7;;0,0;60;12,41;23,65;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782045;27.06.25 00:02:05;-32,102;-0,111;19,158;2,327;23,050;800,180;3,543;67,030;22,835;66,250;23,220;0,470;245,419;29,491;30,553;6377;637,7;;0,0;60;12,40;24,05;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782046;27.06.25 00:03:05;-32,763;-0,111;18,991;2,252;23,028;800,180;3,540;67,045;22,820;66,330;23,195;0,708;173,064;29,479;30,531;6377;637,7;;0,0;60;12,41;24,01;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782047;27.06.25 00:04:05;-34,119;-0,111;18,877;2,165;23,027;800,180;3,546;67,120;22,810;66,420;23,155;0,377;239,546;29,469;30,540;6377;637,7;;0,0;60;12,41;23,81;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782048;27.06.25 00:05:05;-36,427;-0,111;18,725;2,233;23,015;800,180;3,549;67,185;22,810;66,540;23,145;0,436;198,456;29,457;30,522;6377;637,7;;0,0;60;12,42;23,73;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782049;27.06.25 00:06:05;-38,850;-0,111;18,391;2,235;23,003;800,180;3,549;67,170;22,775;66,450;23,125;0,572;249,649;29,433;30,516;6377;637,7;;0,0;60;12,40;23,81;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782050;27.06.25 00:07:05;-40,015;-0,111;18,372;2,240;22,982;800,180;3,546;67,250;22,765;66,720;23,115;0,264;212,687;29,420;30,498;6377;637,7;;0,0;60;12,42;23,57;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782051;27.06.25 00:08:05;-40,360;-0,111;18,282;2,327;22,970;800,180;3,543;67,255;22,760;66,595;23,095;0,280;253,637;29,402;30,485;6377;637,7;;0,0;60;12,41;23,69;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782052;27.06.25 00:09:05;-40,424;-0,111;18,334;2,401;22,952;800,180;3,543;67,340;22,785;66,845;23,095;0,391;154,401;29,402;30,476;6377;637,7;;0,0;60;12,42;23,61;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782053;27.06.25 00:10:05;-40,830;-0,111;18,314;2,449;22,960;800,180;3,543;67,335;22,740;66,680;23,110;0,232;234,833;29,399;30,473;6377;637,7;;0,0;60;12,41;23,49;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782054;27.06.25 00:11:05;-41,681;-0,111;18,022;2,394;22,935;800,180;3,546;67,340;22,730;66,535;23,115;0,519;192,156;29,396;30,473;6377;637,7;;0,0;60;12,41;23,61;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782055;27.06.25 00:12:05;-42,723;-0,111;18,015;2,391;22,907;800,180;3,552;67,335;22,755;66,605;23,135;0,492;108,579;29,399;30,464;6377;637,7;;0,0;60;12,42;23,45;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782056;27.06.25 00:13:05;-43,199;-0,111;17,947;2,410;22,907;800,180;3,537;67,390;22,740;66,525;23,110;0,214;159,452;29,384;30,470;6377;637,7;;0,0;60;12,41;23,69;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782057;27.06.25 00:14:05;-43,292;-0,111;17,846;2,404;22,895;800,180;3,543;67,250;22,710;66,430;23,080;0,750;251,792;29,368;30,470;6377;637,7;;0,0;60;12,41;23,49;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782058;27.06.25 00:15:05;-43,247;-0,111;17,921;2,452;22,897;800,180;3,540;67,320;22,710;66,565;23,120;0,286;213,519;29,329;30,467;6377;637,7;;0,0;60;12,41;23,81;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782059;27.06.25 00:16:05;-43,206;-0,111;17,901;2,566;22,875;800,180;3,543;67,380;22,720;66,485;23,150;0,193;180,276;29,316;30,461;6377;637,7;;0,0;60;12,41;23,77;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782060;27.06.25 00:17:05;-43,248;-0,111;17,910;2,681;22,857;800,180;3,543;67,415;22,720;66,490;23,145;0,195;181,929;29,313;30,428;6377;637,7;;0,0;60;12,41;23,41;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782061;27.06.25 00:18:05;-42,885;-0,111;17,884;2,772;22,870;800,180;3,549;67,355;22,730;66,510;23,145;0,050;137,087;29,307;30,418;6377;637,7;;0,0;60;12,41;23,65;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782062;27.06.25 00:19:05;-42,389;-0,111;17,864;2,818;22,825;800,180;3,546;67,290;22,685;66,490;23,120;0,266;174,864;29,301;30,437;6377;637,7;;0,0;60;12,41;23,69;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782063;27.06.25 00:20:05;-42,009;-0,111;17,881;2,751;22,838;800,180;3,540;67,370;22,715;66,430;23,125;0,086;173,717;29,301;30,415;6377;637,7;;0,0;60;12,40;23,41;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782064;27.06.25 00:21:05;-41,917;-0,111;17,809;2,746;22,835;800,180;3,543;67,320;22,705;66,510;23,100;0,255;121,331;29,298;30,385;6377;637,7;;0,0;60;12,41;23,57;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
