Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2786986;bis:;2793639
Ausgelesen am:;04.07.2025 10:17:27;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2800236;09.07.25 00:00:05;-33,511;-0,111;13,442;2,305;16,743;800,186;4,371;61,010;16,755;61,710;17,065;0,839;214,543;23,182;24,696;6377;637,7;;0,0;60;12,33;20,40;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2800237;09.07.25 00:01:05;-33,581;-0,111;13,203;2,241;16,733;800,189;4,368;60,965;16,770;61,415;17,055;0,783;244,704;23,194;24,684;6377;637,7;;0,0;60;12,31;20,60;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2800238;09.07.25 00:02:05;-33,653;-0,111;13,208;2,194;16,732;800,186;4,368;60,900;16,755;61,185;17,045;0,677;290,408;23,161;24,671;6377;637,7;;0,0;60;12,32;20,60;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2800239;09.07.25 00:03:05;-33,489;-0,111;13,133;2,051;16,737;800,189;4,365;60,710;16,765;61,015;17,015;0,527;282,628;23,154;24,650;6377;637,7;;0,0;60;12,31;20,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2800240;09.07.25 00:04:05;-33,364;-0,111;13,297;1,978;16,712;800,186;4,368;60,935;16,765;61,730;17,005;0,466;206,325;23,151;24,629;6377;637,7;;0,0;60;12,33;20,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2800241;09.07.25 00:05:05;-33,472;-0,111;13,352;2,219;16,730;800,189;4,362;61,580;16,750;62,680;17,070;0,280;216,731;23,148;24,650;6377;637,7;;0,0;60;12,33;20,28;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2800242;09.07.25 00:06:05;-33,688;-0,111;13,172;2,160;16,735;800,192;4,359;61,505;16,735;61,800;17,070;0,320;231,283;23,148;24,632;6377;637,7;;0,0;60;12,32;20,36;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2800243;09.07.25 00:07:05;-33,862;-0,111;13,098;2,133;16,725;800,189;4,365;61,035;16,715;61,160;17,035;0,600;297,383;23,142;24,629;6377;637,7;;0,0;60;12,32;20,48;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2800244;09.07.25 00:08:05;-33,903;-0,111;13,116;2,019;16,705;800,189;4,362;61,140;16,715;61,810;17,035;0,695;215,544;23,112;24,638;6377;637,7;;0,0;60;12,33;20,24;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2800245;09.07.25 00:09:05;-34,001;-0,111;13,113;2,010;16,710;800,186;4,368;61,120;16,735;61,850;17,045;0,532;186,452;23,112;24,613;6377;637,7;;0,0;60;12,32;20,52;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
