Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2833133;bis:;2836676
Ausgelesen am:;20.07.25 01:57:05;von:;User
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldstärke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2836390;20.07.25 00:00:00;-62,663;-0,111;19,967;3,487;21,215;800,180;3,663;71,727;21,417;71,772;21,582;0,021;201,561;28,810;29,592;6377;637,7;;0,0;170;12,32;25,44;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2836391;20.07.25 00:00:11;-62,793;-0,111;20,095;3,533;21,170;800,204;3,660;71,740;21,400;72,060;21,600;-0,005;153,068;28,788;29,545;6377;637,7;;0,0;11;12,31;25,79;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2836392;20.07.25 00:00:52;-62,987;-0,111;19,865;3,483;21,160;800,192;3,660;71,780;21,400;71,700;21,560;0,155;147,375;28,776;29,533;6377;637,7;;0,0;12;12,30;25,79;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2836393;20.07.25 00:01:05;-62,969;-0,111;19,963;3,494;21,187;800,180;3,664;71,773;21,407;71,767;21,587;0,192;168,383;28,792;29,574;6377;637,7;;0,0;65;12,32;25,48;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2836394;20.07.25 00:01:33;-62,775;-0,111;19,939;3,558;21,150;800,192;3,660;71,840;21,340;71,780;21,520;-0,019;343,778;28,776;29,570;6377;637,7;;0,0;13;12,28;25,32;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2836395;20.07.25 00:01:56;-62,864;-0,111;19,892;3,520;21,140;800,204;3,660;71,900;21,400;71,620;21,620;-0,019;162,270;28,752;29,570;6377;637,7;;0,0;11;12,31;25,48;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2836396;20.07.25 00:02:10;-62,844;-0,111;19,913;3,538;21,160;800,180;3,656;71,887;21,400;71,740;21,600;0,020;143,445;28,764;29,550;6377;637,7;;0,0;65;12,32;25,63;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2836397;20.07.25 00:02:38;-62,954;-0,111;19,650;3,478;21,140;800,204;3,660;71,940;21,380;71,640;21,520;-0,019;218,025;28,715;29,533;6377;637,7;;0,0;13;12,30;25,32;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2836398;20.07.25 00:03:01;-62,801;-0,111;19,653;3,347;21,130;800,204;3,636;71,920;21,320;71,960;21,520;-0,019;222,098;28,752;29,521;6377;637,7;;0,0;11;12,33;25,63;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2836399;20.07.25 00:03:43;-62,652;-0,111;19,814;3,330;21,080;800,180;3,648;72,060;21,320;72,140;21,440;-0,019;262,485;28,715;29,558;6377;637,7;;0,0;13;12,30;25,32;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
